IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.93.176,2053,2053,true,SIN,Asia Pacific,Singapore,243,0.78
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,275,0.77
47.237.95.13,2086,2086,false,SIN,Asia Pacific,Singapore,281,0.77
47.236.146.249,2053,2053,true,SIN,Asia Pacific,Singapore,241,0.77
8.219.161.129,80,80,false,SIN,Asia Pacific,Singapore,223,0.76
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,232,0.75
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,278,0.75
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,222,0.74
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,235,0.73
47.237.8.82,2095,2095,false,SIN,Asia Pacific,Singapore,286,0.72
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,287,0.71
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,284,0.71
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,261,0.70
47.236.205.188,8443,8443,true,SIN,Asia Pacific,Singapore,247,0.70
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,285,0.69
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,263,0.68
47.236.232.148,2095,2095,false,SIN,Asia Pacific,Singapore,232,0.67
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,245,0.66
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,278,0.65
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,228,0.64
47.236.123.133,2052,2052,false,SIN,Asia Pacific,Singapore,233,0.64
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,281,0.62
47.236.93.176,2052,2052,false,SIN,Asia Pacific,Singapore,237,0.61
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,293,0.58
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,231,0.58
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,271,0.58
47.236.180.24,8443,8443,true,SIN,Asia Pacific,Singapore,233,0.57
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,235,0.57
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,277,0.57
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,286,0.56
47.237.100.206,2087,2087,true,SIN,Asia Pacific,Singapore,302,0.56
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,233,0.55
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,284,0.55
8.219.161.129,2082,2082,false,SIN,Asia Pacific,Singapore,226,0.54
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,278,0.53
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,237,0.52
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,272,0.51
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,288,0.51
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,293,0.48
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,303,0.48
47.236.232.148,2052,2052,false,SIN,Asia Pacific,Singapore,239,0.46
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,280,0.46
47.237.0.31,2082,2082,false,SIN,Asia Pacific,Singapore,299,0.45
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,231,0.44
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,290,0.41
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,281,0.40
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,261,0.38
47.236.189.92,2053,2053,true,SIN,Asia Pacific,Singapore,239,0.36
47.237.11.182,2086,2086,false,SIN,Asia Pacific,Singapore,284,0.34
47.236.146.249,2095,2095,false,SIN,Asia Pacific,Singapore,236,0.33
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,288,0.32
47.237.94.140,2082,2082,false,SIN,Asia Pacific,Singapore,288,0.30
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,228,0.29
47.237.92.26,2087,2087,true,SIN,Asia Pacific,Singapore,281,0.28
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,233,0.27
47.236.146.249,8080,8080,false,SIN,Asia Pacific,Singapore,246,0.26
8.219.174.213,2082,2082,false,SIN,Asia Pacific,Singapore,234,0.21
47.237.81.112,2095,2095,false,SIN,Asia Pacific,Singapore,288,0.19
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,229,0.00
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,240,0.00
47.236.10.182,2052,2052,false,SIN,Asia Pacific,Singapore,234,0.00
47.236.93.176,2095,2095,false,SIN,Asia Pacific,Singapore,237,0.00
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,229,0.00
47.237.94.140,2052,2052,false,SIN,Asia Pacific,Singapore,274,0.00
47.236.118.216,2087,2087,true,SIN,Asia Pacific,Singapore,240,0.00
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,245,0.00
47.236.237.90,2095,2095,false,SIN,Asia Pacific,Singapore,227,0.00
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,246,0.00
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,227,0.00
47.236.237.90,2096,2096,true,SIN,Asia Pacific,Singapore,225,0.00
8.222.181.139,443,443,true,SIN,Asia Pacific,Singapore,61,0.00
47.236.121.23,8880,8880,false,SIN,Asia Pacific,Singapore,233,0.00
